"LOC100130075" "AGAP2.AS1" "GIHCG" "EGFR.AS1" "TSFM" "CTDSP2" "CDK4" "DCTN2" "AVIL" "OS9" "MBD6" "ARHGEF25" "AGAP2" "CYP27B1" "DDIT3" "GSX2" "EGFR" "DTX3" "VSTM2A" "DKFZp434L192" "SEC61G" "B4GALNT1" "SUMF2" "EEF1AKMT3" "NIPSNAP2" "CHIC2" "VSTM2A.OT1" "NA..64" "SEPTIN14" "ZNF713" "FKBP9P1" "KIF5A" "NUPR2" "RPL21P44" "MIR26A2" "METTL1" "CHCHD2" "MRPS17" "PHKG1" "LANCL2" "PSPH" "TSPAN31" "SLC26A10" "LOC650226" "SNORA15" "PIP4K2C" "VOPP1" "CCT6A" "ATP23" "MARCHF9"
"Axitinib_1021" 0.872467671778606 0.142697369363366 0.436705166669004 0.589846283723429 0.291876540932372 0.315396822166551 0.200651070604587 0.195275499384879 0.341895439150441 0.126702630981836 0.328223180011213 0.195900436295704 0.107896031818715 0.154956719212098 0.330144788780631 0.121416030259027 0.336737889856252 0.195900436295704 0.976849322440161 0.185047803295029 0.515575328523263 0.183072046885096 0.127792753555811 0.14208260507614 0.492771910820946 0.275373595503042 0.976849322440161 0.789370583758317 0.694929012757376 0.444956539043311 0.637385522920022 0.195900436295704 0.125239544979147 0.303536520293408 0.322986659749621 0.146501504263812 0.122810489430585 0.434485142179328 0.122810489430585 0.548174186561722 0.601033092424615 0.161456148144946 0.201265284722529 0.324361432521626 0.162034347647268 0.202375695640788 0.694659501221896 0.162034347647268 0.531435065740582 0.146287361786781
"AZD7762_1022" 0.156315657768137 0.584482339815308 0.432768678682591 0.961661253618908 0.674761747173204 0.48681637226016 0.472005053833756 0.611054658330143 0.399682126559147 0.589988373683295 0.735462530249688 0.61150966734339 0.721846972753464 0.339455636360256 0.732501253445885 0.908469554351202 0.227513169634264 0.61150966734339 0.399511144197655 0.577352435951488 0.69589096192819 0.60912080004169 0.563193553672194 0.344716766963149 0.903698351546818 0.376896849571253 0.399511144197655 0.478990350690989 0.71184448970865 0.68532735191997 0.616951281611041 0.61150966734339 0.457328762683475 0.350169047851593 0.454478461285672 0.317584163780674 0.551146487230246 0.987911503163228 0.551146487230246 0.670986195491607 0.585382083557058 0.414910213515315 0.615193894348322 0.620407710481881 0.592988469682032 0.649778792457478 0.370904042885378 0.592988469682032 0.319485254573546 0.584193271136735
"SB216763_1025" 0.741692420123102 0.793521782552477 0.422170118040243 0.769324521272592 0.606743420720857 0.618527347632136 0.784798503250506 0.355585941595792 0.576480275312047 0.663537781712973 0.309465621990284 0.344464945154465 0.548709207755279 0.517513141779254 0.303782882167486 0.761250786418811 0.855476483381907 0.344464945154465 0.14387852660996 0.936362521221554 0.489866962115129 0.274099644545603 0.853111855555993 0.58004132009725 0.865565684384783 0.623583715338196 0.14387852660996 0.181295813443618 0.618583752402241 0.815194477733667 0.431268514396164 0.344464945154465 0.990297687147227 0.610900811673103 0.614189574397854 0.575651949916424 0.830446719765936 0.663544190357148 0.830446719765936 0.976383732046072 0.701971691741989 0.770572774502106 0.262244528320712 0.834830011521055 0.871008038714325 0.343113344601196 0.510397551771291 0.871008038714325 0.655294926360806 0.598087006909814
"KU-55933_1030" 0.424317803710927 0.874431924355575 0.931546120954861 0.378614009758299 0.644132965311402 0.966427685017019 0.826128312806211 0.822246103278001 0.672773086256457 0.521773350963929 0.646562057279647 0.851989315922971 0.980215593322409 0.981319649588718 0.625909245733895 0.0597995265392438 0.342091935759658 0.851989315922971 0.990788917977325 0.151997905482655 0.354278974259442 0.875459808039097 0.144416099031343 0.724624468775831 0.46903181033319 0.0310555390068445 0.990788917977325 0.716335499764178 0.487402347940936 0.320453592585067 0.250541515851067 0.851989315922971 0.201780678791177 0.0293105356809685 0.97275531627445 0.717093822179509 0.135796254438545 0.350611132198034 0.135796254438545 0.557434374466439 0.736767599689037 0.868256539505149 0.860716692337563 0.228745969288541 0.2183185053313 0.854321361854419 0.869595043344543 0.2183185053313 0.903211326709115 0.86032854231774
"Afatinib_1032" 0.694114749092833 0.99527738766813 0.626230100866126 0.735869528555333 0.706530556766342 0.781895775417037 0.847803902871733 0.972715592202762 0.683194145524567 0.69968158309461 0.86375567161729 0.98911330134094 0.936969440178847 0.778043243742461 0.84676128669304 0.731869223651146 0.776562664328787 0.98911330134094 0.349503637367059 0.354050674428051 0.891248842055832 0.893331152361333 0.413808853586735 0.881494892823719 0.141996348481314 0.48634213180294 0.349503637367059 0.420031216980924 0.401230796514637 0.48619710224619 0.934618119643731 0.98911330134094 0.380514547064565 0.466981718017378 0.778910807294863 0.878737924880693 0.496744610186195 0.284175831977602 0.496744610186195 0.72609487123261 0.311523084410058 0.851734487117102 0.861221483678165 0.296244906420186 0.425346157438951 0.979913431060473 0.906864245700073 0.425346157438951 0.510262380144432 0.992255651735121
"Staurosporine_1034" 0.610788934361092 0.728407859191112 0.362936377016095 0.900150924745552 0.776604691660841 0.460342229024466 0.51359557751124 0.606723201430388 0.467806844034746 0.940830129695236 0.548651525268416 0.618019743781499 0.656314808689493 0.327458565350134 0.53696910742958 0.901016743953353 0.818467154823367 0.618019743781499 0.558631774644336 0.72992435988616 0.983368849776032 0.722652638585527 0.65253535274085 0.27361858317356 0.804259641894887 0.930349788000996 0.558631774644336 0.910225590323155 0.960075962771946 0.641093710129811 0.935194768664409 0.618019743781499 0.536264900331288 0.933293429858983 0.427879394993035 0.250004424891386 0.635253916863036 0.996172143468145 0.635253916863036 0.786054850218387 0.362530176855816 0.613397940037795 0.7288873409314 0.766224238538128 0.628981700362508 0.631990283033647 0.746519515759894 0.628981700362508 0.30780916083878 0.574464048776091
"PLX-4720_1036" 0.973541122592837 0.940138057935393 0.871702003525205 0.345442703685649 0.816217035964222 0.979082736874596 0.98707531604646 0.902887235528586 0.878949665389657 0.436994436819106 0.738781908247709 0.952636482305505 0.937319390193663 0.998868158573447 0.713312185461239 0.1256461143024 0.202603800635354 0.952636482305505 0.391041116745259 0.820004550545487 0.555645201511564 0.611966616391465 0.822958955065981 0.64274366321683 0.733631955972674 0.122041508822915 0.391041116745259 0.35187681083362 0.708858944685121 0.822188811893982 0.485889927730068 0.952636482305505 0.935329003107685 0.12166346507364 0.968672031965855 0.631375728041969 0.825572975528231 0.706723097975101 0.825572975528231 0.779135904554549 0.904607352098212 0.971439952133218 0.59897612086772 0.81593153916789 0.905410366134611 0.97134971791296 0.569472777370478 0.905410366134611 0.946698986478432 0.853551020915
"NU7441_1038" 0.796701472453595 0.194409974878664 0.455115620378471 0.401430768208838 0.3518396906434 0.253248461879895 0.224502452658571 0.323433556798499 0.431446357222343 0.271101027342594 0.459079989405745 0.331617687398198 0.127582392692744 0.199894439314934 0.464909884902774 0.0485748067218949 0.273706186273571 0.331617687398198 0.467127626433688 0.16204879683766 0.382049577470978 0.377353253861118 0.231060590655408 0.150000005471581 0.85715704714974 0.0646812326978315 0.467127626433688 0.884101325777573 0.243952027597202 0.466829935679789 0.220426915489417 0.331617687398198 0.195382788104206 0.0670353863580579 0.262269870407904 0.156519125730792 0.22526152125912 0.473064676293607 0.22526152125912 0.705266212564851 0.709570131014701 0.242232608555508 0.41734571811341 0.202956789265157 0.462146374589821 0.345440336040725 0.706022812218939 0.462146374589821 0.569183445005947 0.153607846068208
"Doramapimod_1042" 0.375661203355442 0.373859598483772 0.679371614969262 0.547256379056909 0.609780584492414 0.900547141354163 0.738380930551968 0.548595913680147 0.794143813750022 0.144813662809196 0.652929921419655 0.516076249557833 0.581093487825042 0.965482045703894 0.671458789766328 0.480012407014442 0.734160616376361 0.516076249557833 0.752081962291102 0.938858233815892 0.39976441029579 0.298472947599555 0.953874944844442 0.682551044764001 0.984265769074479 0.303645569521733 0.752081962291102 0.582437923641885 0.0620902301404949 0.295460178582087 0.0419153174503515 0.516076249557833 0.77981064606139 0.290814583238883 0.871421396606249 0.653630057214862 0.941719574170323 0.497696071494572 0.941719574170323 0.692730462705902 0.728818232422807 0.625863547471592 0.298686267769948 0.919398323420042 0.917856003070716 0.490990581869414 0.109085970123675 0.917856003070716 0.618892016104106 0.674323825582485
"Wee1 Inhibitor_1046" 0.0480556139909062 0.589248203665565 0.398004109135801 0.449706838877969 0.673722149905918 0.371853154837764 0.508022848906534 0.669293853099918 0.296770466181554 0.306083589579504 0.931469511875249 0.654777618357221 0.794896083001995 0.333715115269813 0.940891975993291 0.831625846272195 0.229772972170018 0.654777618357221 0.392569875692629 0.432811912472281 0.334392879446434 0.530155184123783 0.237514055883193 0.43185982989384 0.893043659987721 0.358467829437678 0.392569875692629 0.486086654084198 0.895883912260516 0.260848924174997 0.816709893345751 0.654777618357221 0.211359343712943 0.333971556351754 0.337516732441253 0.389800614396172 0.219828824386803 0.633313556519226 0.219828824386803 0.672225928784941 0.562478812269336 0.470547699232953 0.534054458475235 0.517452904740644 0.307637552233348 0.680609908628528 0.676684759075203 0.307637552233348 0.31381155293255 0.598778820572958
